kanji,onyomi,onyomi_all,kunyomi_all,onyomi_in_use,kunyomi_in_use,observed_readings,meaning,components,radical,non_radical_part,radical_cd,radical_strokes,non_radical_strokes,total_strokes,pinyin,pinyin_tone,pinyin_initial,pinyin_final,pinyin_tone_num,nasal_coda,is_entering_tone,entering_coda,word_count,sample_words,mc_initial,mc_initial_cat,mc_voicing,mc_rhyme,mc_rhyme_cat,mc_grade,mc_openness,mc_tone,mc_is_entering,mc_entering_coda,mc_readings_json,mc_reading_count,mc_reading_source,mc_reading_types,mc_goon_primary,mc_kanon_primary,mc_divergent
一,イチ,イチ|イツ,ひと|ひと・つ,イチ,ひと|ひと・つ,いちにち|いちばん|いっしょ|いっしょに|いっぱい|おととい|おととし|ついたち|ひとつ|ひとつき|ひとり,◆最初、最初の数、最も小さい数、同「壹」 ◆(幾つかあるものの内の、全体の中の)一つ、一つの、一つに、それだけ、ひたすら、同「壹」◆同じ、等しい、「同じ一つのもの」の意◆(一繋がりのものの、繋がって一つになっているものの)全て◆いち、部首名,一,一,,11,1,0,1,yi,yi1,y,i1,1,none,1,-k,11,"[{""word"": ""一日"", ""kana"": ""いちにち""}, {""word"": ""一番"", ""kana"": ""いちばん""}, {""word"": ""一緒"", ""kana"": ""いっしょ""}, {""word"": ""一緒に"", ""kana"": ""いっしょに""}, {""word"": ""一杯"", ""kana"": ""いっぱい""}, {""word"": ""一昨日"", ""kana"": ""おととい""}, {""word"": ""一昨年"", ""kana"": ""おととし""}, {""word"": ""一日"", ""kana"": ""ついたち""}, {""word"": ""一つ"", ""kana"": ""ひとつ""}, {""word"": ""一月"", ""kana"": ""ひとつき""}]",,,,,,,,,0,,,0,,,,,0
丁,テイ,テイ|トウ|チョウ,ひのと|あ・たる,テイ|チョウ,,ちょうど|ていねい,◆ひのと、十干(ジッカン、甲・乙・丙・丁・戊・己・庚・辛・壬・癸)の四番目 ◆賦役(フエキ)に徴用される年齢に達した(成年に達した)成人男性、壮年の(働き盛りの)男性◆当たる、相当する◆肉や野菜などを采の目(さいのめ、サイコロのような小さな立方体)切りにしたもの、「肉丁(ジクチョウ、ロウディン、肉を采の目切りにしたもの)」◆「丁丁(チョウチョウ)」、「かちかち」「かっかっ」「こつこつ」などのものが打ち当たる音の形容◆[日]書物の紙の枚数を数える語、表裏二頁分を一丁という◆[日]町の区画◆[日]偶数、奇数を「半」,一亅丁,一,,11,1,1,2,ding,ding1,d,ing1,1,-ng,0,none,2,"[{""word"": ""丁度"", ""kana"": ""ちょうど""}, {""word"": ""丁寧"", ""kana"": ""ていねい""}]",知,舌,全清,耕,梗,,開,平,0,,"[{""initial"": ""知"", ""initial_category"": ""舌"", ""voicing"": ""全清"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""耕"", ""rhyme_category"": ""梗"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""端"", ""initial_category"": ""舌"", ""voicing"": ""全清"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""青"", ""rhyme_category"": ""梗"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""呉/漢異"", ""呉/漢異""]","{""initial"": ""知"", ""rhyme"": ""耕"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""知"", ""rhyme"": ""耕"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}",1
七,シツ,シツ|シチ,なな|なな・つ|なの,シチ,なな|なな・つ|なの,しちごさん|ななつ|なのか,◆数の名、七番目 ,七,一,乚,11,1,1,2,qi,qi1,q,i1,1,none,1,-k,3,"[{""word"": ""七五三"", ""kana"": ""しちごさん""}, {""word"": ""七つ"", ""kana"": ""ななつ""}, {""word"": ""七日"", ""kana"": ""なのか""}]",清,齒,次清,眞,臻,,開,入,1,ツ,"[{""initial"": ""清"", ""initial_category"": ""齒"", ""voicing"": ""次清"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""眞"", ""rhyme_category"": ""臻"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""ツ"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
万,バン,バン|モン|マン|ボク|モク,よろず,マン,,まん|まんねんひつ,◆千の十倍 ◆数え切れないほど多いさま、極めて多いさま◆あらゆる、どんなものも、全て◆決して、絶対に、「萬萬(バンバン)」◆「万俟(ボクキ)」、姓、同「𢄏俟」、「万俟卨(ボクキセツ、1083年～1157年、宋代の人)」,万,一,,11,1,2,3,wan,wan4,w,an4,4,-n,0,none,2,"[{""word"": ""万"", ""kana"": ""まん""}, {""word"": ""万年筆"", ""kana"": ""まんねんひつ""}]",明,脣,次濁,元,臻,,,去,0,,"[{""initial"": ""明"", ""initial_category"": ""脣"", ""voicing"": ""次濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""元"", ""rhyme_category"": ""臻"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""明"", ""initial_category"": ""脣"", ""voicing"": ""次濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""登"", ""rhyme_category"": ""曾"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""ク"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""呉/漢異"", ""呉/漢異""]","{""initial"": ""明"", ""rhyme"": ""元"", ""tone"": ""去"", ""grade"": null, ""openness"": null}","{""initial"": ""明"", ""rhyme"": ""元"", ""tone"": ""去"", ""grade"": null, ""openness"": null}",1
丈,チョウ,チョウ|ジョウ,たけ,ジョウ,,じょうぶ|だいじょうぶ,◆長さの単位、1丈=10尺 ◆年長者また老人に対する敬称、「老丈(ロウジョウ、ご老人)」◆「丈夫(ジョウフ)」◇夫(おっと)◇男(おとこ)、成人の男性◇堂々(ドウドウ)としたさま◆[日]たけ、高さ◆[日]「丈夫(ジョウブ)」、しっかりしているさま、健康(ケンコウ)なさま,ナ乂丈,一,乂,11,1,2,3,zhang,zhang4,zh,ang4,4,-ng,0,none,2,"[{""word"": ""丈夫"", ""kana"": ""じょうぶ""}, {""word"": ""大丈夫"", ""kana"": ""だいじょうぶ""}]",澄,舌,全濁,陽,宕,,開,上,0,,"[{""initial"": ""澄"", ""initial_category"": ""舌"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""陽"", ""rhyme_category"": ""宕"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""澄"", ""rhyme"": ""陽"", ""tone"": ""上"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""澄"", ""rhyme"": ""陽"", ""tone"": ""上"", ""grade"": null, ""openness"": ""開""}",1
三,サン,サン,み|みつ|みっ・つ,サン,み|みっ・つ,しちごさん|みっか|みっつ,◆数の名、三番目 ,三,一,二,11,1,2,3,san,san1,s,an1,1,-n,0,none,3,"[{""word"": ""七五三"", ""kana"": ""しちごさん""}, {""word"": ""三日"", ""kana"": ""みっか""}, {""word"": ""三つ"", ""kana"": ""みっつ""}]",心,齒,全清,談,咸,,,平,0,,"[{""initial"": ""心"", ""initial_category"": ""齒"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""談"", ""rhyme_category"": ""咸"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}, {""initial"": ""心"", ""initial_category"": ""齒"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""談"", ""rhyme_category"": ""咸"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",2,gy,"[""通用"", ""通用""]",,,0
上,ショウ,ショウ|ジョウ,あ・がる|うえ|うわ|かみ|のぼ・る,ジョウ,あ・がる|うえ|うわ|のぼ・る,あげる|うえ|うわぎ|じょうず|のぼる,◆位置・場所・地位などが高い、高い方にある◆高い方に移る、昇る、登る◆順序・時間などが前、前の方にある◆前の方に移る◆等級・品質などが高い、優れている◆殿様、皇帝、君主、民(たみ)の上に立つ人,上,一,卜,11,1,2,3,shang,shang4,sh,ang4,4,-ng,0,none,5,"[{""word"": ""上げる"", ""kana"": ""あげる""}, {""word"": ""上"", ""kana"": ""うえ""}, {""word"": ""上着"", ""kana"": ""うわぎ""}, {""word"": ""上手"", ""kana"": ""じょうず""}, {""word"": ""登る/上る"", ""kana"": ""のぼる""}]",常,齒,全濁,陽,宕,,開,上,0,,"[{""initial"": ""常"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""陽"", ""rhyme_category"": ""宕"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""常"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""陽"", ""rhyme_category"": ""宕"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""呉/漢異"", ""呉/漢異""]","{""initial"": ""常"", ""rhyme"": ""陽"", ""tone"": ""上"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""常"", ""rhyme"": ""陽"", ""tone"": ""上"", ""grade"": null, ""openness"": ""開""}",1
下,カ,カ|ゲ,お・りる|くだ・る|さ・がる|した|しも|もと,カ,くだ・る|さ・がる|した,くださる|くつした|した|ちかてつ|ていか|へた|ろうか,◆位置・場所・地位などが低い、低い方にある◆低い方に移る、降りる、落ちる◆順序・時間などが後(あと)、後の方にある◆後の方に移る、後(うし)ろの方へ退く◆等級・品質などが低い、劣っている◆支配・管理されている状態にある、「天下(テンカ)」「配下(ハイカ)」◆他からの影響・教授を受ける位置にいる、「門下(モンカ)」,下,一,卜,11,1,2,3,xia,xia4,x,ia4,4,none,0,none,7,"[{""word"": ""下さる"", ""kana"": ""くださる""}, {""word"": ""靴下"", ""kana"": ""くつした""}, {""word"": ""下"", ""kana"": ""した""}, {""word"": ""地下鉄"", ""kana"": ""ちかてつ""}, {""word"": ""低下"", ""kana"": ""ていか""}, {""word"": ""下手"", ""kana"": ""へた""}, {""word"": ""廊下"", ""kana"": ""ろうか""}]",匣,喉,全濁,麻,假,二,開,上,0,,"[{""initial"": ""匣"", ""initial_category"": ""喉"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": ""二"", ""rhyme"": ""麻"", ""rhyme_category"": ""假"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""匣"", ""initial_category"": ""喉"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": ""二"", ""rhyme"": ""麻"", ""rhyme_category"": ""假"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""呉/漢異"", ""呉/漢異""]","{""initial"": ""匣"", ""rhyme"": ""麻"", ""tone"": ""上"", ""grade"": ""二"", ""openness"": ""開""}","{""initial"": ""匣"", ""rhyme"": ""麻"", ""tone"": ""上"", ""grade"": ""二"", ""openness"": ""開""}",1
不,フウ,フウ|フ|ブ,,,,まずい,◆～でない、～ない、not、no、否定の語、同「弗」、「不可(フカ、認められない、してはならない)」「不知(フチ、知らない)」◆否(いな)、いや、いいや、同意できない、認められない、受け入れられない、否定・不同意の言葉、同「否」◆～か?、～ではないだろうか、～であろうか、文末に付いて疑問・反問などを表す語◆然(しか)らずんば、～でなければ～、同「否」◆大きい、大きなさま、同「丕」,不,一,个,11,1,3,4,bu,bu4,b,u4,4,none,1,-k,1,"[{""word"": ""不味い"", ""kana"": ""まずい""}]",幫,脣,全清,尤,流,,,平,0,,"[{""initial"": ""幫"", ""initial_category"": ""脣"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""尤"", ""rhyme_category"": ""流"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}, {""initial"": ""幫"", ""initial_category"": ""脣"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""尤"", ""rhyme_category"": ""流"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}, {""initial"": ""幫"", ""initial_category"": ""脣"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""文"", ""rhyme_category"": ""臻"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""ツ"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",3,gy,"[""通用"", ""通用"", ""通用""]",,,0
世,セイ,セイ|セ,よ,セ,,せかい,◆地位や家督を継(つ)いでから次の代(ダイ)に引き継ぐまでの期間、同「代」◆家督(カトク)を継(つ)ぐ、「【前漢書(漢書):卷四十八:賈誼傳】…賈嘉最好學世其家(師古曰言繼其家業)」◆同様の状態が続く期間、時代、特に三十年間を一区切りとした時代、「世代(セイダイ、セダイ)」◆人などが存在・生活する空間や時間、「世界(セカイ)」「世間(セケン)」,十２廿Ｌ世,一,,11,1,4,5,shi,shi4,sh,i4,4,none,1,-k,1,"[{""word"": ""世界"", ""kana"": ""せかい""}]",,,,,,,,,0,,,0,,,,,0
